,openInterest,symbol,productGroup,productCode,tradingHoursGlobex,url,tradingHoursClearPort,listedContracts,terminationOfTrading,contractUnit,settlementMethod,vendorCodes,floatingPrice,priceLimitOrCircut,productName,settlementProcedures,blockMinimum,clearing,globex,tradingHours,errorFlag,clearedAs,exchange,positionLimits,minimumPriceFluctuation,exchangeRulebook,floor,volume,priceQuotation,clearPort
0,,3F,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
0,0,4C,Energy,"CME Globex: 4C
CME ClearPort: 4C
Clearing: 4C",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/chicago-ultra-low-sulfer-diels-ulsd-platts-swap_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),36 consecutive months,Trading shall cease on the last business day of the contract month.,"42,000 gallons",Financially Settled,Quote Vendor Symbols Listing,The Floating Price for each contract month is equal to the arithmetic average of the Platts Chicago ULSD (pipeline) mean for each business day that it is determined during the contract month.,,Chicago ULSD (Platts) Futures,,Block Minimum Thresholds,4C,4C,,,Futures,NYMEX,NYMEX Position Limits,$0.0001 per gallon,NYMEX 452,-,0,U.S. dollars and cents per gallon.,4C
0,0,4G,Energy,"CME Globex: 4G
CME ClearPort: 4G
Clearing: 4G",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/premium-unleaded-10-ppm-platts-cargoes-cif-nwe-swap_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),48 consecutive months,Trading shall cease on the last business day of the contract month.,"1,000 metric tons",Financially Settled,Quote Vendor Symbols Listing,The Floating Price for each contract month is equal to the arithmetic average of the mid-point of the high and low quotations from the Platts European Marketscan for Premium Unleaded Gasoline (Prem Unl) 10ppm under the heading ※Cargoes CIF NWE Basis ARA§ for each business day that it is determined during the contract month.,,Premium Unleaded Gasoline 10 ppm Cargoes CIF NWE (Platts) Futures,,Block Minimum Thresholds,4G,4G,,,Futures,NYMEX,NYMEX Position Limits,$0.001 per metric ton,NYMEX 467,-,0,U.S. dollars and cents per metric ton,4G
0,,4SN,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
0,0,51,Energy,"CME Globex: 51
CME ClearPort: 51
Clearing: 51",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-ldh-propane-opis-vs-european-propane-cif-ara-argus-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),Every month for 36 consecutive months,Trading shall cease on the last business day of the contract month.,"1,000 metric tons",Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month is equal to the arithmetic average of the OPIS Mt. Belvieu Propane (LDH) minus arithmetic average of the high and low quotations from Argus Media for Propane CIF ARA for each business day that it is determined during the contract month (using Non-common pricing).

For purposes of determining the Floating Price, the Argus Media for Propane CIF ARA price will be converted each day to U.S. dollars and cents per gallon, rounded to the nearest cent. The conversion factor will be 521 gallons per metric ton.",,Mont Belvieu LDH Propane (OPIS) vs. European Propane CIF ARA (Argus) Futures,,Block Minimum Thresholds,51,51,,,Futures,NYMEX,NYMEX Position Limits,$0.001 per metric ton,NYMEX 421,-,0,U.S. dollars and cents per metric ton,51
0,0,5Y,Energy,"CME Globex: 5Y
CME ClearPort: 5Y
Clearing: 5Y",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/new-york-ultra-low-sulfur-diesel-ulsd-argus-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),36 consecutive months,Trading shall cease on the last business day of the contract month.,"42,000 gallons",Financially Settled,Quote Vendor Symbols Listing,The Floating Price for each contract month is equal to the arithmetic average of the mid-point of the high and low quotations from Argus Media for New York ULSD (barge) for each business day that it is determined during the contract month.,,NY ULSD (Argus) Futures,,Block Minimum Thresholds,5Y,5Y,,,Futures,NYMEX,NYMEX Position Limits,$0.0001 per gallon,NYMEX 245,-,0,U.S. dollars and cents per gallon.,5Y
0,"10,401",5ZN,Energy,"CME Globex: 5ZN
CME ClearPort: 5Z
Clearing: 5Z",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/natural-gas/columbia-gulf-mainline-natural-gas-basis-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),Current year plus next five years,Trading shall cease on the last business day of the month prior to the contract month.,"2,500 MMBtu",Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month will be equal to the Platts Inside FERC's Gas Market Report (""Platts IFERC"") Columbia Gulf Transmission Co. Mainline Index (""Index"") published  in the first regular issue of the contract month minus the NYMEX (Henry Hub) Natural Gas Futures contract final settlement price for the corresponding contract month.",,"Columbia Gulf, Mainline Natural Gas (Platts IFERC) Basis Futures",,Block Minimum Thresholds,5Z,5ZN,,,Futures,NYMEX,NYMEX Position Limits,$0.0001 per MMBtu,NYMEX 428,-,0,U.S. dollars and cents per MMBtu,5Z
0,"138,815",6A,FX,"CME Globex: 6A
CME ClearPort: AD
Clearing: AD",,http://www.cmegroup.com/trading/fx/g10/australian-dollar_contract_specifications.html,,"Contracts listed for the first 3 consecutive months and 20 months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"100,000 Australian dollars",Deliverable,Quote Vendor Symbols Listing,,Price Limits,Australian Dollar Futures,"Physical Delivery
AUD/USD Futures Settlement Procedures",Block Minimum Thresholds,AD,6A,Sunday 每 Friday 5:00 p.m. 每 4:00 p.m. CT (with a 60-minute break each day beginning at 4:00 p.m.CT),,Futures,CME,CME Position Limits,"Outrights: 0.0001 USD per AUD increments ($10.00 USD).
Consecutive Month Spreads (Globex only):  0.00001 USD per AUD (1.00 USD)
All other Spread Combinations (Globex only):  0.00005 USD per AUD (5.00 USD)",CME 255,-,"77,053",,AD
0,"212,869",6B,FX,"CME Globex: 6B
CME ClearPort: BP
Clearing: BP",,http://www.cmegroup.com/trading/fx/g10/british-pound_contract_specifications.html,,"Contracts listed for the first 3 consecutive months and 20 months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"62,500 British pounds",Deliverable,Quote Vendor Symbols Listing,,Price Limits,British Pound Futures,"Physical Delivery
GBP/USD Futures Settlement Procedures",Block Minimum Thresholds,BP,6B,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),,Futures,CME,CME Position Limits,"Outrights: 0.0001 USD per GBP increments ($6.25 USD).
Consecutive Month Spreads: (Globex only)  0.00001 USD per GBP (0.625 USD)
All other Spread Combinations:  0.0001 USD per GBP (6.25 USD)",CME 251,-,"106,707",,BP
0,"189,819",6C,FX,"CME Globex: 6C
CME ClearPort: C1
Clearing: C1",,http://www.cmegroup.com/trading/fx/g10/canadian-dollar_contract_specifications.html,,"Contracts listed for the first 3 consecutive months and 20 months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the business day immediately preceding the third Wednesday of the contract month (usually Tuesday).,"100,000 Canadian dollars",Deliverable,Quote Vendor Symbols Listing,,Price Limits,Canadian Dollar Futures,"Physical Delivery
Canadian Dollar Settlement Procedures ",Block Minimum Thresholds,C1,6C,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),,Futures,CME,CME Position Limits,"Outrights: .00005 USD per CAD  ($5.00 USD).
Consecutive Month Spreads (Globex only): 0.00001 USD per CAD (1.00 USD)
All other Spread Combinations:  0.00005 USD per CAD (5.00 USD).",CME 252,-,"90,644",,C1
0,"454,577",6E,FX,"CME Globex: 6E
CME ClearPort: EC
Clearing: EC",,http://www.cmegroup.com/trading/fx/g10/euro-fx_contract_specifications.html,,"Contracts listed for the first 3 consecutive months and 20 months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"125,000 euro",Deliverable,Quote Vendor Symbols Listing,,Price Limits,Euro FX Futures,"Physical Delivery
EUR/USD Futures Settlement Procedures ",Block Minimum Thresholds,EC,6E,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),,Futures,CME,CME Position Limits,"Outrights: .00005 USD per EUR increments ($6.25 USD).
Consecutive Month Spreads: (Globex only)  0.00001 USD per EUR (1.25 USD)
All other Spread Combinations:  0.00005 USD per EUR (6.25 USD)",CME 261,-,"245,755",,EC
0,"241,145",6J,FX,"CME Globex: 6J
CME ClearPort: J1
Clearing: J1",,http://www.cmegroup.com/trading/fx/g10/japanese-yen_contract_specifications.html,,"Contracts listed for the first 3 consecutive months and 20 months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"12,500,000 Japanese yen",Deliverable,Quote Vendor Symbols Listing,,Price Limits,Japanese Yen Futures,"Physical Delivery
JPY/USD Futures Settlement Procedures ",Block Minimum Thresholds,J1,6J,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),,Futures,CME,CME Position Limits,"Outrights: .0000005 USD per JPY increments (6.25 USD).
Consecutive Month Spreads: (Globex only)  0.0000001 USD per JPY (1.25 USD)
All other Spread Combinations:  0.0000005 USD per JPY (6.25 USD)",CME 253,-,"116,156",,J1
0,0,6L,Energy,"CME Globex: A6L
CME ClearPort: 6L
Clearing: 6L",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/refined-products/european-1pct-fuel-oil-platts-barges-fob-rdam-balmo-swap-futures_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),Monthly contracts listed for 3 consecutive months,Trading shall cease on the last business day of the contract month.,"1,000 metric tons",Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month is equal to the balance-of-month arithmetic average of the high and low quotations from Platts European Marketscan for 1% Fuel Oil under the heading ""Barges FOB Rotterdam"" starting from the selected start date through the end of the contract month, inclusively.",,European 1% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,,Block Minimum Thresholds,6L,A6L,,,Futures,NYMEX,NYMEX Position Limits,$0.001 per metric ton,NYMEX 739,-,0,U.S. dollars and cents per metric ton,6L
0,"214,785",6M,FX,"CME Globex: 6M
CME ClearPort: MP
Clearing: MP","Sundays: 5:00 p.m. 每 4:00 p.m. Central Time (CT) next day. Monday 每 Friday: 5:00 p.m. 每 4:00 p.m. CT the next day, except on Friday 每 closes at 4:00 p.m. and reopens Sunday at 5:00 p.m. CT.",http://www.cmegroup.com/trading/fx/emerging-market/mexican-peso_contract_specifications.html,"Sundays: 5:00 p.m. 每 4:00 p.m. Central Time (CT) next day. Monday 每 Friday: 5:00 p.m. 每 4:00 p.m. CT the next day, except on Friday 每 closes at 4:00 p.m. and reopens Sunday at 5:00 p.m. CT.",Thirteen consecutive calendar months plus 2 deferred March quarterly cycle contract months,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"500,000 Mexican pesos",Deliverable,Quote Vendor Symbols Listing,,Price Limits,Mexican Peso Futures,"Physical Delivery
Mexican Peso Futures Settlement Procedures",Block Minimum Thresholds,MP,6M,,,Futures,CME,CME Position Limits,$.00001 per Mexican peso increments ($5.00/contract).,CME 256,-,"26,662",,MP
0,"54,152",6N,FX,"CME Globex: 6N
CME ClearPort: NE
Clearing: NE",,http://www.cmegroup.com/trading/fx/g10/new-zealand-dollar_contract_specifications.html,,"Six months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"100,000 New Zealand dollars",Deliverable,Quote Vendor Symbols Listing,,Price Limits,New Zealand Dollar Futures,"Physical Delivery
New Zealand Dollar Settlement Procedures",Block Minimum Thresholds,NE,6N,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),,Futures,CME,CME Position Limits,$.0001 per New Zealand dollar increments ($10.00/contract). $.00005 per New Zealand dollar ($5.00/contract) for NZD/USD futures intra-currency spreads executed electronically.,CME 258,-,"16,421",,NE
0,"34,988",6R,FX,"CME Globex: 6R
CME ClearPort: RU
Clearing: RU","Sundays: 5:00 p.m. - 4:00 p.m. Central Time (CT) next day. Monday - Friday: 5:00 p.m. 每 4:00 p.m. CT the next day, except on Friday - closes at 4:00 p.m. and reopens Sunday at 5:00 p.m. CT.",http://www.cmegroup.com/trading/fx/emerging-market/russian-ruble_contract_specifications.html,"Sundays: 5:00 p.m. - 4:00 p.m. Central Time (CT) next day. Monday - Friday: 5:00 p.m. 每 4:00 p.m. CT the next day, except on Friday - closes at 4:00 p.m. and reopens Sunday at 5:00 p.m. CT.","Twelve consecutive (serial) contract months for the 1st year of maturity (includes 4 March, June, September and December quarterly contract months) plus 16 additional March quarterly months covering a total maturity range of 5 years (total of 20 March quarterly contract months plus 8 nearby non-March quarterly cycle serial contract months for a total of 28 contract months listed).","11:00 a.m. Moscow time on the fifteenth day of the month, or, if not a business day, on the next business day for the Moscow interbank foreign exchange market.","2,500,000 Russian rubles",Financially Settled,Quote Vendor Symbols Listing,,Price Limits,Russian Ruble Futures,RUB/USD Futures Settlement Procedures,Block Minimum Thresholds,RU,6R,,,Futures,CME,CME Position Limits,$.000005 per Russian ruble increments ($12.50/contract).,CME 260,-,"2,521",,RU
0,"39,787",6S,FX,"CME Globex: 6S
CME ClearPort: E1
Clearing: E1",,http://www.cmegroup.com/trading/fx/g10/swiss-franc_contract_specifications.html,,"Twenty months in the March quarterly cycle (Mar, Jun, Sep, Dec)",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday).,"125,000 Swiss francs",Deliverable,Quote Vendor Symbols Listing,,Price Limits,Swiss Franc Futures,CHF/USD Futures Settlement Procedures,Block Minimum Thresholds,E1,6S,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),,Futures,CME,CME Position Limits,$.0001 per Swiss Franc increments ($12.50/contract). $.00005 per Swiss Franc increments ($6.25/contract) for CHF/USD futures intra-currency spreads executed electronically.,CME 254,-,"40,293",,E1
0,184,6Z,Energy,"CME Globex: 6ZN
CME ClearPort: 6Z
Clearing: 6Z",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),http://www.cmegroup.com/trading/energy/natural-gas/tennessee-800-leg-natural-gas-basis_contract_specifications.html,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT),The current year plus the next five calendar years. A new calendar year will be added following the termination of trading in the December contract of the current year.,Trading shall cease on the last business day of the month prior to the contract month.,"2,500 MMBtu",Financially Settled,Quote Vendor Symbols Listing,"The Floating Price for each contract month will be equal to the Platts Inside FERC's Gas Market Report (""Platts IFERC"") Tennessee Gas Pipeline Co. Louisiana, 800 leg Index (""Index"") published  in the first regular issue of the contract month minus the NYMEX (Henry Hub) Natural Gas Futures contract final settlement price for the corresponding contract month.",,Tennessee 800 Leg Natural Gas (Platts IFERC) Basis Futures,,Block Minimum Thresholds,6Z,6ZN,,,Futures,NYMEX,NYMEX Position Limits,$0.0001 per MMBtu,NYMEX 432,-,0,U.S. dollars and cents per MMBtu,6Z
